   ,DEL_DATE,SHOP_CODE,MATERIAL,EFF_DURATION,DELAY_FROM,DELAY_TO,DELAY_DURN,CUM_DELAY,EQPT,SUB_EQPT,EFF_DURN
3183,3/5/2005,2,others,0.5,19,19.3,0.3,0.3,OT-1,CO-4,0.5
4035,2/26/2005,2,I-O-L,9,9,18,9,9,others,CO-59,9
4226,2/24/2005,2,BF-DOL,0.166667,10.35,10.45,0.1,0.1,OT-3,CO-61,0.166667
5349,2/16/2005,2,others,0.583333,0,0,0.35,0.35,OT-3,CO-69,0.583333
5365,2/16/2005,2,others,1.25,11,12.15,1.15,1.15,OT-3,CO-66,1.25
5400,2/16/2005,2,others,8.5,10,18.3,8.3,8.3,others,CO-65,8.5
5561,2/15/2005,2,I-O-F,8,10,18,8,8,LOCP,CO-45,8
5590,2/14/2005,2,others,8,10,18,8,8,others,CO-14,8
6005,2/11/2005,2,others,7.5,10,17.3,7.3,7.3,WBRC,CO-26,7.5
6450,2/8/2005,2,others,0.916667,18.5,19.45,0.55,0.55,LOCP,CO-47,0.916667
8224,1/26/2005,2,others,9.416667,9,18.25,9.25,9.25,others,CO-7,9.416667
8698,1/22/2005,2,I-O-L,0.5,11.3,12,0.3,0.3,BRC,CO-30,0.5
8751,1/22/2005,2,I-O-F,0.75,15,15.45,0.45,0.45,BRC,CO-30,0.75
8875,1/21/2005,2,others,6.5,10.3,17,6.3,6.3,others,CO-73,6.5
9120,1/19/2005,2,BF-LS,9.666667,9,18.4,9.4,9.4,BRC,CO-32,9.666667
9134,1/19/2005,2,BF-COK,9.833333,8,17.5,9.5,9.5,others,CO-5,9.833333
9404,1/16/2005,2,I-O-F,8.166667,10,18.1,8.1,8.1,others,CO-35,8.166667
9405,1/16/2005,2,BF-DOL,8.5,10,18.3,8.3,8.3,BRC,CO-30,8.5
9646,1/14/2005,2,others,2,14,16,2,2,LOCP,CO-48,2
10021,1/11/2005,2,others,11.5,10,21.3,11.3,11.3,others,CO-6,11.5
10073,1/11/2005,2,others,8,10,18,8,8,others,CO-78,8
10074,1/11/2005,2,others,12.666667,8,20.4,12.4,12.4,BRC,CO-32,12.666667
10185,1/10/2005,2,BF-DOL,9.166667,9,18.1,9.1,9.1,others,"CO-61,64",9.166667
10189,1/10/2005,2,I-O-L,9.416667,9.15,18.4,9.25,9.25,others,"CO-66,69",9.416667
10824,1/5/2005,2,SMS-LS,6.166667,18.1,0.2,6.1,6.1,others,CO-61,6.166667
11854,12/29/2004,2,BF-LS,10.833333,7.3,18.2,10.5,10.5,others,CO-6,10.833333
12132,12/27/2004,2,I-O-F,0.5,0,0,0.3,0.3,BRC,CO-31,0.5
12168,12/26/2004,2,I-O-F,1,0,0,1,1,BRC,CO-32,1
13385,12/17/2004,2,I-O-F,7.5,6,13.3,7.3,15.3,others,CO-88,7.5
13492,12/16/2004,2,others,0.5,23.3,0,0.3,0.3,others,CO-60,0.5
14282,12/10/2004,2,I-O-L,8,22,6,8,8,others,CO-88,8
14644,12/7/2004,2,BF-COK,0.5,18.15,18.45,0.3,0.3,BRC,CO-66,0.5
14680,12/7/2004,2,I-O-F,7.5,10,17.3,7.3,7.3,others,CO-71,7.5
15078,12/4/2004,2,I-O-F,0.25,17.3,17.45,0.15,0.15,BRC,CO-66,0.25
15857,11/28/2004,2,others,5,14,19,5,5,RMB,CO-71,5
15861,11/28/2004,2,I-O-F,9.25,10.3,19.45,9.15,9.15,WBRC,"CO-59,70",9.25
15863,11/28/2004,2,BF-COK,6.166667,15.2,21.3,6.1,6.1,WBRC,CO-61,6.166667
